spec,year,Mooring,num_sf,per_through_dat_start,,b drive ,have? ,copied,total SF,start file,,
GS,12,BS1,95,16,x,,,,,,,
RW,16,BS1,181,83,AL16_AU_BS1,B17,y,y rw,158,all,,
GS,14,BS1,55,24,x,,,,,,,
RW,13,2,191,53,BS13_AU_02a,B09,y,y rw ,58,all,,do 5 each of RW and GS 
RW,16,5,156,97,BS16_AU_05a,x,,,,,,done! Use this for future Gting. 
RW,12,BS1,152,59,x,,,,,,,
GS,15,8,77,23,x,,,,,,,
RW,14,8,190,1,x,,,,,,,
RW,15,5,193,4,x,,,,,,,
GS,14,BS3,60,53,AW14_AU_BS3,B14,y,y gs,,,,
GS,13,BS1,71,40,x,,,,,,,
RW,14,BS1,139,94,AW14_AU_BS1,B16,x,,,,,
GS,15,BS2,93,40,AW15_AU_BS2,B18,y,,,,,
GS,12,BS2,89,51,x,,,,,,,
RW,15,5,162,90,x,,,,,,,
RW,12,4,160,44,BS12_AU_04b,x,,,,,,
GS,14,8,70,75,x,,,,,,,
GS,13,4,52,48,x,,,,,,,
RW,13,2,155,59,BS13_AU_02a,x,,,,,,
GS,15,BS2,90,11,AW15_AU_BS2,B18,y,y gs,,,,
RW,16,5,154,14,BS16_AU_05,B21,,y rw ,13,all,,
GS,16,BS3,93,16,AL16_AU_BS3,B17,n,y gs,,,,
GS,12,2,58,52,BS12_AU_02b,B07,n,y gs ,2291,1116,,
RW,16,2,141,5,BS16_AU_02b,x,,,,,,
GS,12,4,74,80,BS14_AU_04b,B16,y,y gs,,,,
GS,13,8,76,22,,,,,,,,
RW,13,4,155,51,BS13_AU_04b,x,,,,,,
RW,15,4,116,71,BS15_AU_04a,B18,y,y rw ,,,,
GS,14,4,85,10,,,,,,,,
GS,12,5,57,87,,,,,,,,
RW,13,BS1,153,74,x,,,,,,,
GS,14,BS2,100,65,,,,,,,,
RW,14,BS2,100,65,AW14_AU_BS2,B16,y,y RW,,,,
