"TPtot","GTtot2","MoorCor"
454,454,"BP AW15_AU_BS3_files_705-749"
33,33,"BP BS12_AU_02a_files_1-46"
289,289,"BP AW14_AU_BS3_files_1-71"
566,566,"BP BS13_AU_04_files_137-224"
1174,1174,"BP AW12_AU_BS3_files_1-250"
271,271,"BP AW12_AU_BS3_files_1464-1507"
725,697,"GS AW15_AU_BS3_files_705-749"
481,401,"GS BS12_AU_02a_files_1-46"
1070,1019,"GS AW14_AU_BS3_files_1-71"
810,689,"GS BS13_AU_04_files_137-224"
1806,1807,"GS AW12_AU_BS3_files_1-250"
619,619,"GS AW12_AU_BS3_files_1464-1507"
260,280,"RW BS15_AU_02a_files_1-104"
397,461,"RW BS14_AU_04_files_All"
763,853,"RW AW12_AU_BS3_files_All"
1395,1604,"RW BS13_AU_04_files_All"
446,490,"RW BS16_AU_02a_files_1-175"
143,177,"RW BS15_AU_02b_files_All"
534,606,"RW AW14_AU_BS3_files_1-160"
